"","CHFB","CHFCD4","CHFCD8","CHFgama","CHFMONO","CHFNK","PWSB","PWSCD4","PWSCD8","PWSGAMA","PWSMONO","PWSNK"
"CD8A",-0.616911792699231,-0.616911792699231,1.21130054947637,-0.616911792699231,-0.616911792699231,-0.616911792699231,-0.616911792699231,-0.616911792699231,2.33717081911921,0.514381765353503,-0.616911792699231,0.872441207644766
"CD99",-0.514030587930883,-0.514030587930883,2.25128580579394,-1.59123556682485,-0.514030587930883,-0.514030587930883,0.599219368073236,0.498602645466613,1.06756735299236,-0.514030587930883,0.258743922083997,-0.514030587930883
"CDKN1A",-0.158586930596048,-0.158586930596048,-0.158586930596048,-0.158586930596048,-1.82131405789948,-0.158586930596048,0.580320875310006,-0.158586930596048,-0.158586930596048,-0.158586930596048,2.66827555795391,-0.158586930596048
"CDKN1C",-0.20200814391651,-0.20200814391651,-0.20200814391651,-0.20200814391651,-1.05775552128409,-0.20200814391651,-0.20200814391651,-0.20200814391651,-0.20200814391651,-0.20200814391651,3.07783696044919,-0.20200814391651
"CEBPB",-0.516830060176934,-0.516830060176934,0.174544955570882,-0.516830060176934,-1.83171164204655,-0.0141950420831587,-0.516830060176934,-0.516830060176934,-0.0457333113149085,1.1891351012116,1.45643190987657,1.65567832967024
"CEMIP2",-0.389815482403762,-0.389815482403762,2.91929217708357,-0.389815482403762,-0.389815482403762,-0.389815482403762,-0.389815482403762,-0.389815482403762,-0.389815482403762,-0.389815482403762,-0.389815482403762,0.978862646954046
"CEP78",-0.0815730209227312,-0.0815730209227312,1.08987619618244,-0.0815730209227312,-0.0815730209227312,2.37730465805652,-0.0815730209227312,-0.0815730209227312,-0.0815730209227312,-1.13676006239935,-0.0815730209227312,-1.67783662445777
"CHMP1B",-0.849778519610841,-0.849778519610841,-0.849778519610841,-0.849778519610841,-0.849778519610841,-0.849778519610841,0.796134734207838,0.465990221901261,0.122807316849511,1.46799220539768,0.373036781612627,1.87270985769613
"CHST12",-0.46981331005769,-0.46981331005769,2.8127621451916,-0.46981331005769,-0.46981331005769,0.931325768726756,-0.46981331005769,-0.46981331005769,0.484231876600847,-0.46981331005769,-0.46981331005769,-0.46981331005769
"CHST2",-0.374194997001337,-0.374194997001337,-0.374194997001337,-0.374194997001337,-0.374194997001337,0.968847429409815,-0.374194997001337,-0.374194997001337,-1.49703186602085,-0.374194997001337,1.26151600554768,2.26022840707405
"CIB1",-0.0294593301579018,-1.03802529735782,0.443936873996947,-1.03802529735782,-1.03802529735782,-1.03802529735782,1.55428169635098,0.664691314654213,0.792759381498778,-1.03802529735782,1.31369618135761,0.450220369088486
